Key,Count
Backbone::R101,7
Data Type::Real+PBR,4
Dataset::3DPW-ALL,3
Dataset::3DPW-TEST,5
Input Modality::RGB-D,4
Loss Type::L1,7
Loss Type::MSE,7
Method::BoPR(HR-W32),2
Method::BoPR(HR-W48),6
Method::CDPNv2+ICP,4
Method::GDR-LC,1
Method::GDR-Net,4
Method::GDR-Net-LC,3
Method::Ours §,7
Method::Zebra-LC,1
Method::ZebraPose,4
Method::ZebraPose-LC,3
Object::051_large_clamp*,4
Object::052_extra_large_clamp*,4
Object::061_foam_brick*,4
Object::mean,4
Î»f::10,7
Î»f::100,7
Î»f::20,7
Î»f::5,7
Î»f::50,7
